identifiant,Arrondissement,Regime_particulier,Duree,Mois,Latitude,Longitude
206,12.0,Arret_vigipirate_non_perennise,1440.0,7.0,48.8371308676,2.40247522811
212,20.0,Arret_Pompiers,1440.0,8.0,48.8498297861,2.41113208326
281,7.0,Stationnement_genant,1440.0,8.0,48.8564371456,2.32393637293
307,7.0,Stationnement_genant,1440.0,8.0,48.8554348193,2.32565119479
335,16.0,Stationnement_genant,1440.0,8.0,48.8647820914,2.29717967892
373,15.0,Stationnement_genant,1440.0,8.0,48.845295614,2.31081892061
472,8.0,Stationnement_genant,1440.0,8.0,48.8723306126,2.30884745321
582,8.0,Arret_vigipirate_perennise,1440.0,8.0,48.881806697,2.31974501057
598,9.0,Stationnement_genant,1440.0,8.0,48.8708010678,2.32808187402
586,8.0,Stationnement_genant,1440.0,8.0,48.8709557514,2.29823300098
3512,9.0,Stationnement_genant,1440.0,8.0,48.8801358915,2.33145730389
3522,14.0,Stationnement_genant,1440.0,8.0,48.839854975,2.32212524328
3574,13.0,Arret_simple,1440.0,7.0,48.8337904672,2.35734681241
3619,13.0,Stationnement_genant,1440.0,8.0,48.8178451597,2.36028536025
3672,16.0,Stationnement_genant,1440.0,8.0,48.8639501912,2.29076140553
3774,14.0,Stationnement_genant,1440.0,8.0,48.816984074,2.33459252213
3806,14.0,Arret_genant_divers,1440.0,8.0,48.8212742571,2.3187200647
3787,15.0,Arret_vigipirate_perennise,1440.0,8.0,48.8512058534,2.28778002085
3804,16.0,Stationnement_genant,1440.0,8.0,48.8560231763,2.28487702312
3807,15.0,Arret_Pompiers,1440.0,8.0,48.8486548739,2.2812192633
3834,14.0,Arret_genant_divers,1440.0,7.0,48.8331905917,2.33159488382
3835,14.0,Arret_genant_divers,1440.0,7.0,48.8330293973,2.33145605443
3863,14.0,Stationnement_genant,1440.0,8.0,48.8232545941,2.33480424684
3913,0.0,Livraison_BUS,1140.0,8.0,48.8401375245,2.32200883029
3957,14.0,Arret_vigipirate_perennise,1440.0,8.0,48.8332427186,2.32316702676
3945,14.0,Stationnement_genant,1440.0,8.0,48.8283253079,2.317102178
4008,15.0,Arret_vigipirate_perennise,1440.0,8.0,48.8424674738,2.28700999116
4023,14.0,Arret_genant_divers,1440.0,8.0,48.83271804,2.31938185661
4052,14.0,Stationnement_simple,1440.0,8.0,48.8300023254,2.32312741656
4097,12.0,Stationnement_genant,1440.0,8.0,48.8392330965,2.40091791115
4176,14.0,Stationnement_simple,1440.0,8.0,48.8248124417,2.33830438039
4273,15.0,Stationnement_genant,1440.0,8.0,48.8493224853,2.29312135382
4276,15.0,Stationnement_genant,1440.0,8.0,48.848730177,2.29666169628
4254,15.0,Stationnement_genant,1440.0,8.0,48.849152304,2.29273356556
4290,12.0,Stationnement_genant,1440.0,8.0,48.837424504,2.40225865446
4310,15.0,Stationnement_genant,1440.0,8.0,48.8430174447,2.31375352006
4397,15.0,Stationnement_genant,1440.0,8.0,48.8402405454,2.31554606223
4403,15.0,Arret_vigipirate_non_perennise,1440.0,8.0,48.8392336654,2.29364467373
4432,15.0,Stationnement_genant,1440.0,8.0,48.836769463,2.30345331413
4470,16.0,Stationnement_simple,1440.0,8.0,48.8749693394,2.28738201212
4475,16.0,Arret_vigipirate_perennise,1440.0,8.0,48.8673246341,2.29205667692
4536,15.0,Stationnement_genant,1440.0,8.0,48.8363973167,2.27395532901
4605,16.0,Stationnement_genant,1440.0,8.0,48.8768509524,2.28235564266
5369,18.0,Stationnement_genant,1440.0,8.0,48.8986504031,2.36333899011
5399,17.0,Arret_vigipirate_perennise,1440.0,8.0,48.8776257961,2.29494461918
5446,16.0,Stationnement_simple,1440.0,8.0,48.8486256708,2.27025633318
5427,15.0,Stationnement_genant,1440.0,8.0,48.8370662828,2.27892995335
5422,16.0,Stationnement_genant,1440.0,8.0,48.8415779581,2.26574261445
5450,12.0,Stationnement_genant,1440.0,8.0,48.8398614298,2.41328940655
5490,0.0,Stationnement_genant,1440.0,8.0,48.878094492,2.37681878753
5486,14.0,Stationnement_genant,1440.0,8.0,48.8236117202,2.33426121359
5491,18.0,Stationnement_genant,1440.0,8.0,48.8896029258,2.33704060531
5501,18.0,Stationnement_genant,1440.0,8.0,48.8878506242,2.33977804485
