identifiant	Regime_prioritaire	Regime_particulier	Arrondissement	Zone_Residentielle	Tarification	Type_de_voie	Nom_de_la_voie	Parite	Longueur	Longueur_calculee	Signalisation_horizontale	Signalisation_verticale	Conformite_signalisation	Plage_horaire_1-Debut	Plage_horaire_1-Fin	Plage_horaire_2-Debut	Plage_horaire_2-Fin	Date_du_releve	Derniere_date_edition	Code_Voie_Ville_de_Paris	Numero_Sequentiel_Tronçon_Voie	Zone_ASP	Numero_Section_Territoriale_de_Voirie	geo_point_2d
3210	LIVRAISON_BUS	Livraison_BUS	13	13H	2.40			Impair	55.78	55.78	Absente	Avec_panonceau	Conforme	19:30	07:30	09:30	16:30	2020-08-31	2017-08-07	7710	1750615033	13Z1	8	48.8369632816,2.34941389
3232	INTERDIT	Stationnement_genant	13	13N	2.40			Impair	14.20	14.20	Absente	Absente	SV_Non-conforme					2020-07-21	2020-08-13	1238	1750595615	13Z6	8	48.8215395201,2.37281426625
3271	INTERDIT	Arret_vigipirate_non_perennise	5	5J	4.00			Impair	33.04	33.04	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-08	8871	1750611765	05Z1	2	48.8484963453,2.34436146098
3280	INTERDIT	Arret_vigipirate_perennise	5	5J	4.00			Pair	95.54	95.54	Presente	Avec_panonceau	Conforme					2020-08-31	2017-10-26	2483	750611954	05Z1	2	48.8472007904,2.34461920102
3277	INTERDIT	Arret_genant_divers	5	6G	4.00			Inconnu	37.58	37.58	Presente	Avec_panonceau	Conforme					2020-08-31	2017-11-22	6805	1750614104	05Z3	2	48.8402284901,2.33680230973
3309	INTERDIT	Arret_genant_divers	5	5J	4.00			Impair	11.67	11.67	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-08	8845	1750610980	05Z2	2	48.8494578749,2.35353629244
3313	INTERDIT	Arret_genant_divers	5	5J	4.00			Impair	10.50	10.50	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-08	8845	1750610958	05Z2	2	48.8494881598,2.3525744941
3301	INTERDIT	Stationnement_genant	6	6G	4.00			Impair	11.09	11.09	Presente	Absente	SV_Non-conforme					2020-08-31	2017-08-08	6779	1750613131	06Z3	2	48.8434436527,2.33130107834
3380	INTERDIT	Stationnement_simple	13	13L	2.40			Impair	4.83	4.83	Presente	Absente	Conforme					2020-07-09	2020-07-29	4682	1750617407	13Z3	8	48.8285183717,2.35665087925
3423	INTERDIT	Stationnement_genant	13	13H	2.40			Impair	0.02	0.02	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-17	9138	1750616358	13Z1	8	48.8333736154,2.34599408506
3490	INTERDIT	Stationnement_simple	11	11G	4.00			Impair	16.59	16.59	Presente	Absente	Conforme					2020-07-24	2020-08-14	4953	1750604664	11Z1	7	48.8666087185,2.36857198808
3493	INTERDIT	Stationnement_genant	11	11G	4.00			Inconnu	23.68	23.68	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-16	8146	1750604546	11Z1	7	48.8667543702,2.36703996047
3450	INTERDIT	Arret_genant_divers	5	5J	4.00			Impair	57.18	57.18	Presente	Avec_panonceau	Conforme					2020-08-31	2017-08-17	8845	1750610560	05Z1	2	48.8506508275,2.34612077905
3474	INTERDIT	Stationnement_genant	5	5J	4.00			Impair	104.85	104.85	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-17	1895	1750611666	05Z1	2	48.848095749,2.34602870664
6784	INTERDIT	Arret_vigipirate_perennise	20	20E	2.40			Pair	8.12	8.12	Absente	Avec_panonceau	Conforme					2020-07-28	2020-08-14	5964	750602534	20Z1	7	48.8729292477,2.38942555878
6862	INTERDIT	Stationnement_genant	18	18F	2.40			Pair	56.53	56.53	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-24	7366	750599396	18Z6	5	48.8836500373,2.33834175476
6938	INTERDIT	Stationnement_genant	20	20G	2.40			Pair	13.62	13.62	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-25	9791	750608659	20Z4	7	48.856048892,2.40254273122
6983	INTERDIT	Stationnement_genant	11	11E	4.00			Pair	165.39	165.39	Absente	Absente	SV_Non-conforme					2020-07-25	2020-08-14	3172	750605077	11Z1	7	48.8660332165,2.37437328748
6985	INTERDIT	Stationnement_simple	19	19K	2.40			Pair	9.75	9.75	Presente	Absente	Conforme					2020-08-31	2017-10-26	8573	750598538	19Z3	6	48.8865286481,2.39442890707
6962	INTERDIT	Arret_vigipirate_perennise	20	20F	2.40			Impair	26.13	26.13	Presente	Avec_panonceau	Conforme					2020-07-30	2020-08-14	263	1750604749	20Z1	7	48.8666175032,2.38944472968
7001	INTERDIT	Stationnement_genant	11	11E	4.00			Inconnu	25.88	25.88	Absente	Absente	SV_Non-conforme					2020-07-25	2020-08-14	9448	750604841	11Z1	7	48.866123611,2.37112552634
7013	INTERDIT	Stationnement_genant	5	5G	4.00			Inconnu	31.03	31.03	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-26	9369	1750610786	05Z2	2	48.8501793743,2.35518563539
7074	INTERDIT	Stationnement_simple	15	15H	2.40			Impair	13.87	13.87	Presente	Absente	Conforme					2020-08-31	2017-10-27	5391	1750612995	15Z4	3	48.8437202543,2.30654286461
7106	INTERDIT	Stationnement_genant	12	12R	2.40			Impair	76.10	76.10	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-16	2624	1750612370	12ZB	8	48.8458383445,2.40415022966
7116	INTERDIT	Stationnement_genant	4	4E	4.00			Impair	19.47	19.47	Absente	Avec_panonceau	Conforme					2020-08-31	2017-10-30	4745	1750608765	04Z3	1	48.8557175972,2.36282900381
7093	INTERDIT	Stationnement_genant	18	18P	2.40			Pair	18.03	18.03	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-30	1727	750597024	18Z7	5	48.8942923685,2.33295660186
7151	INTERDIT	Stationnement_genant	20	20G	2.40			Impair	76.41	76.41	Absente	Avec_panonceau	Conforme					2020-07-26	2020-08-17	9791	1750609480	20Z4	7	48.8536108935,2.39901963762
7153	INTERDIT	Stationnement_genant	20	20G	2.40			Inconnu	27.82	27.82	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-31	9791	750609246	20Z4	7	48.8542935452,2.40027426951
7325	INTERDIT	Stationnement_genant	20	20G	2.40			Impair	25.64	25.64	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-03	1396	1750609276	20Z4	7	48.8546882901,2.39924340249
7327	INTERDIT	Stationnement_genant	20	20L	2.40			Pair	2.43	2.43	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-03	8699	750606738	20Z5	7	48.8616404396,2.40172348998
7306	INTERDIT	Stationnement_genant	20	20G	2.40			Impair	52.40	52.40	Absente	Absente	SV_Non-conforme					2020-07-26	2020-08-17	587	1750610215	20Z4	7	48.8516529113,2.40005900971
7312	INTERDIT	Stationnement_genant	20	20H	2.40			Pair	12.97	12.97	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-03	587	750594990	20Z6	7	48.8518646097,2.40162466904
7329	INTERDIT	Arret_vigipirate_perennise	5	5E	4.00			Pair	4.94	4.94	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-03	7425	750613739	05Z3	2	48.8419627141,2.34037591883
7359	INTERDIT	Stationnement_simple	19	19F	2.40			Pair	23.44	23.44	Presente	Absente	Conforme					2020-08-31	2020-01-07	3673	750599135	19Z1	6	48.8856664708,2.37089092944
7460	INTERDIT	Arret_simple	19	19P	2.40			Impair	85.80	85.80	Presente	Absente	Conforme					2020-08-31	2017-11-07	8573	1750600682	19Z8	6	48.8783723196,2.40271818931
7461	INTERDIT	Arret_simple	19	19P	2.40			Pair	87.01	87.01	Presente	Absente	Conforme					2020-08-31	2017-11-07	8573	750600643	19Z8	6	48.8784541553,2.40280284477
7448	INTERDIT	Stationnement_simple	7	7L	4.00			Inconnu	11.67	11.67	Presente	Absente	Conforme					2020-08-07	2020-08-21	8055	750609202	07Z3	3	48.8545393464,2.32601082262
7432	INTERDIT	Stationnement_genant	7	7L	4.00			Impair	64.47	64.47	Absente	Absente	SV_Non-conforme					2020-08-07	2020-08-21	6378	1750608427	07Z3	3	48.8568229936,2.32802865049
7443	INTERDIT	Stationnement_genant	19	19N	2.40			Pair	4.29	4.29	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-07	1073	750600569	19Z8	6	48.878691598,2.40127691314
7436	INTERDIT	Stationnement_genant	20	20E	2.40			Impair	213.02	213.02	Absente	Avec_panonceau	Conforme					2020-07-27	2020-08-14	7352	1750602953	20Z1	7	48.8726343785,2.38411064092
7465	INTERDIT	Stationnement_genant	19	19P	2.40			Pair	149.85	149.85	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-07	8573	750600680	19Z8	6	48.8781672439,2.40457094808
7474	INTERDIT	Stationnement_genant	19	19P	2.40			Inconnu	60.89	60.89	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-07	213	750600404	19Z8	6	48.8794165722,2.40106874416
7475	INTERDIT	Stationnement_genant	12	12R	2.40			Pair	106.06	106.06	Absente	Absente	SV_Non-conforme					2020-08-31	2017-11-07	3902	750612422	12ZH	8	48.8459737227,2.4094392692
7492	INTERDIT	Arret_simple	12	12R	2.40			Inconnu	3.98	3.98	Presente	Absente	Conforme					2020-08-31	2017-11-08	8662	1750612774	12ZH	8	48.8444198014,2.41042539035
7508	INTERDIT	Arret_vigipirate_perennise	19	19F	2.40			Impair	14.97	14.97	Presente	Absente	SV_Non-conforme					2020-08-24	2020-08-31	6820	1750597693	19Z2	6	48.8901549558,2.38213447468
7555	INTERDIT	Arret_genant_divers	19	19H	2.40			Pair	100.76	100.76	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-08	4400	750599212	19Z4	6	48.8845827511,2.37472252181
7556	INTERDIT	Arret_genant_divers	19	19H	2.40			Inconnu	93.58	93.58	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-08	4400	1750599212	19Z4	6	48.8845515146,2.37458435871
7520	INTERDIT	Stationnement_genant	16	16M	2.40			Impair	10.13	10.13	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-08	8721	1750607386	16Z3	4	48.8606288179,2.26688456906
7551	INTERDIT	Stationnement_genant	14	14K	2.40			Impair	17.86	17.86	Absente	Absente	SV_Non-conforme					2020-08-01	2020-08-20	2817	1750617832	14Z1B	2	48.8273303843,2.31456686426
7594	INTERDIT	Stationnement_simple	9	9G	4.00			Pair	15.15	15.15	Presente	Absente	Conforme					2020-08-31	2017-11-09	1940	750603146	4	1	48.8714398204,2.33399054882
7592	INTERDIT	Stationnement_genant	13	13E	2.40			Impair	7.29	7.29	Absente	Absente	SV_Non-conforme					2020-07-23	2020-08-13	7055	1750619064	13Z5	8	48.8177738933,2.35757666625
7652	INTERDIT	Arret_genant_divers	13	13P	2.40			Impair	97.43	97.43	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-15	Y962	1750620066	13Z6	8	48.8253322668,2.38115026515
7683	INTERDIT	Arret_Pompiers	16	16X	2.40			Pair	3.83	3.83	Absente	Avec_panonceau	Non_conforme					2020-08-11	2020-08-20	6578	750612736	16Z5	4	48.8449001684,2.25721785878
7676	INTERDIT	Arret_simple	17	17P	2.40			Pair	31.50	31.50	Absente	Sans_panonceau	Conforme					2020-08-25	2020-09-03	2016	750597750	17ZB	5	48.8903674589,2.30718237816
7679	INTERDIT	Stationnement_genant	17	17P	2.40			Impair	9.68	9.68	Absente	Absente	SV_Non-conforme					2020-08-26	2020-09-01	918	1750597626	17ZB	5	48.8904664132,2.30583524929
7667	INTERDIT	Arret_simple	12	12F	2.40			Inconnu	131.77	131.77	Absente	Sans_panonceau	Conforme					2020-08-31	2017-11-13	876	750617113	12ZD	8	48.829730999,2.38673935692
7687	INTERDIT	Arret_vigipirate_perennise	20	20M	2.40			Pair	13.54	13.54	Presente	Avec_panonceau	Conforme					2020-07-28	2020-08-14	8218	750602642	20Z2	7	48.872544934,2.39256869389
7712	INTERDIT	Stationnement_simple	20	20L	2.40			Inconnu	17.33	17.33	Presente	Absente	Conforme					2020-08-31	2017-11-13	7177	750605562	20Z5	7	48.8645299761,2.40437814616
7713	INTERDIT	Stationnement_simple	20	20L	2.40			Inconnu	13.15	13.15	Presente	Absente	Conforme					2020-08-31	2017-11-13	812	750605371	20Z3	7	48.8646107675,2.40441165912
896803D20100930083518	INTERDIT	Stationnement_genant	12	12P	2.40	RUE	SIBUET	Pair	41.14	41.14	Absente	Absente	SV_Non-conforme					2020-08-31	2017-05-31	8593	750613269	12ZF	8	48.8431009891,2.40233173866
7776	INTERDIT	Arret_Pompiers	17	17P	2.40			Pair	8.20	8.20	Absente	Avec_panonceau	Non_conforme					2020-08-31	2017-11-15	6015	750619383	17ZB	5	48.891839366,2.30360074223
7786	INTERDIT	Stationnement_genant	13	13F	2.40			Pair	61.50	61.50	Absente	Avec_panonceau	Conforme					2019-06-22	2020-08-13	836	750595891	13Z5	8	48.825088739,2.35069688972
524604G20110819141443	INTERDIT	Stationnement_genant	9	9G	4.00	RUE	LAFFITTE	Impair	46.39	46.39	Absente	Avec_panonceau	Conforme					2020-08-31	2017-07-24	5165	1750602367	4	1	48.8738900324,2.33794235616
350001D20110906154431	INTERDIT	Stationnement_genant				RUE	FALLEMPIN	Pair	47.21	47.21	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-30	3524	750611264			48.8494685657,2.29181118427
497301D20150310160512	INTERDIT	Stationnement_genant	2	2E	4.00	RUE_DES	JEUNEURS	Pair	11.79	11.79	Presente	Avec_panonceau	Conforme					2020-08-31	2017-07-11	4859	750603884	02Z1	1	48.8689728842,2.34694149007
083002G20111130151953	INTERDIT	Arret_genant_divers	16	16J	2.40	RUE_DES	BELLES_FEUILLES	Impair	11.35	11.35	Presente	Avec_panonceau	Conforme					2020-08-11	2020-08-18	825	1750604167	16Z1	4	48.8686022112,2.28026798109
245911D20110926153716	INTERDIT	Stationnement_genant	15	15P	2.40	RUE_DE_LA	CROIX_NIVERT	Pair	43.13	43.13	Absente	Avec_panonceau	Conforme					2020-08-31	2017-09-04	2452	750613403	15Z3	3	48.8426821386,2.29473120295
029701D20110617101520	INTERDIT	Stationnement_simple				RUE	AMPERE	Pair	6.72	6.72	Presente	Absente	Conforme					2020-08-31	2017-09-25	291	750598892			48.8852388563,2.30688399865
829902D20110722112257	INTERDIT	Stationnement_genant	9	9F	4.00	RUE	RODIER	Pair	56.59	56.59	Absente	Avec_panonceau	Conforme					2020-08-31	2017-07-13	8276	750601034	2	1	48.8776327819,2.34240885253
724601D20140203172743	INTERDIT	Arret_genant_divers	16	16V	2.40	RUE_DES	PERCHAMPS	Pair	4.19	4.19	Presente	Avec_panonceau	Conforme					2020-08-31	2017-09-18	7197	750611697	16Z4	4	48.8482056611,2.26734573249
386903G20101206115103	INTERDIT	Stationnement_genant	13	13P	2.40	RUE_DES	FRIGOS	Impair	86.01	86.01	Absente	Avec_panonceau	Conforme					2020-07-08	2020-07-28	3880	1750616715	13Z6	8	48.8314227745,2.3794601822
27	INTERDIT	Stationnement_genant	12	12P	2.40			Impair	92.26	92.26	Absente	Avec_panonceau	Conforme					2020-08-31	2017-07-26	9338	1750614036	12ZF	8	48.8408454606,2.40167492979
32	INTERDIT	Arret_Pompiers	12	12P	2.40			Impair	13.85	13.85	Absente	Avec_panonceau	Non_conforme					2020-07-29	2020-08-13	8416	1750613833	12ZF	8	48.8410576758,2.40311390406
66	INTERDIT	Stationnement_genant	20	20K	2.40			Impair	125.05	125.05	Absente	Absente	SV_Non-conforme					2020-08-31	2017-07-25	5912	1750609722	20Z6	7	48.8534312836,2.40646545351
53	INTERDIT	rien	20	20G	2.40			Impair	8.46	8.46	Absente	Absente	Conforme					2020-08-31	2017-06-06	612	1750608299	20Z4	7	48.8571610326,2.39825909426
76	INTERDIT	Stationnement_genant	20	20H	2.40			Pair	63.74	63.74	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-05	9865	750594984	20Z6	7	48.8522399998,2.40468072039
122	INTERDIT	Stationnement_genant	13	13R	2.40			Impair	48.40	48.40	Presente	Avec_panonceau	Conforme					2020-07-07	2020-07-28	7395	1750616588	13Z4	8	48.8319163895,2.37176076631
154	INTERDIT	Arret_Pompiers	12	12L	2.40			Impair	14.49	14.49	Absente	Avec_panonceau	Non_conforme					2020-07-31	2020-08-14	7554	1750616313	12ZD	8	48.8331529126,2.40120724244
197	INTERDIT	Arret_Pompiers	12	12L	2.40			Impair	5.19	5.19	Presente	Avec_panonceau	Non_conforme					2020-07-31	2020-08-14	7554	1750615632	12ZD	8	48.8352040512,2.40587857665
206	INTERDIT	Arret_vigipirate_non_perennise	12	12M	2.40			Impair	13.50	13.50	Absente	Avec_panonceau	Conforme					2020-07-31	2020-08-13	2578	1750615092	12ZG	8	48.8371308676,2.40247522811
212	INTERDIT	Arret_Pompiers	20	20H	2.40			Impair	3.59	3.59	Presente	Avec_panonceau	Non_conforme					2020-08-31	2017-06-13	2608	1750595021	20Z6	7	48.8498297861,2.41113208326
281	INTERDIT	Stationnement_genant	7	7L	4.00			Impair	10.60	10.60	Absente	Avec_panonceau	Conforme					2020-08-07	2020-08-21	9851	1750608525	07Z3	3	48.8564371456,2.32393637293
307	INTERDIT	Stationnement_genant	7	7L	4.00			Pair	58.01	58.01	Absente	Absente	SV_Non-conforme					2020-08-07	2020-08-21	2019	750619397	07Z3	3	48.8554348193,2.32565119479
335	INTERDIT	Stationnement_genant	16	16H	2.40			Impair	7.96	7.96	Absente	Absente	SV_Non-conforme					2020-08-08	2020-08-20	7780	1750605316	16Z4	4	48.8647820914,2.29717967892
373	INTERDIT	Stationnement_genant	15	15G	2.40			Inconnu	12.14	12.14	Absente	Absente	SV_Non-conforme					2020-08-31	2017-12-07	3960	750612525	15Z4	3	48.845295614,2.31081892061
472	INTERDIT	Stationnement_genant	8	8F	4.00			Pair	11.54	11.54	Presente	Avec_panonceau	Conforme					2020-08-31	2019-11-08	452	750602732	08Z2	5	48.8723306126,2.30884745321
582	INTERDIT	Arret_vigipirate_perennise	8	8L	4.00			Impair	24.79	24.79	Absente	Avec_panonceau	Conforme					2020-08-31	2017-06-23	702	1750599879	08Z5	5	48.881806697,2.31974501057
598	INTERDIT	Stationnement_genant	9	9G	4.00			Pair	19.98	19.98	Presente	Absente	SV_Non-conforme					2020-08-18	2020-08-27	1609	750620208	5	1	48.8708010678,2.32808187402
586	INTERDIT	Stationnement_genant	8	8F	4.00			Impair	9.49	9.49	Absente	Avec_panonceau	Conforme					2020-08-31	2017-06-23	3472	1750603165	08Z1	5	48.8709557514,2.29823300098
3512	INTERDIT	Stationnement_genant	9	9E	4.00			Pair	12.84	12.84	Absente	Avec_panonceau	Conforme					2020-08-17	2020-08-28	1019	750600205	1	1	48.8801358915,2.33145730389
3522	INTERDIT	Stationnement_genant	14	14N	2.40			Impair	10.97	10.97	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-18	5850	1750614306	14Z4A	2	48.839854975,2.32212524328
3574	INTERDIT	Arret_simple	13	13K	2.40			Impair	106.46	106.46	Presente	Absente	Conforme					2020-07-06	2020-07-31	4567	1750616173	13Z2	8	48.8337904672,2.35734681241
3619	INTERDIT	Stationnement_genant	13	13E	2.40			Inconnu	17.23	17.23	Absente	Absente	SV_Non-conforme					2020-08-31	2017-12-01	3629	750619028	13Z5	8	48.8178451597,2.36028536025
3672	INTERDIT	Stationnement_genant	16	16I	2.40			Inconnu	11.27	11.27	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-21	7780	1750605755	16Z2	4	48.8639501912,2.29076140553
3774	INTERDIT	Stationnement_genant	14	14G	2.40			Impair	10.50	10.50	Absente	Absente	SV_Non-conforme					2020-08-31	2017-09-11	7418	1750595813	14Z3B	2	48.816984074,2.33459252213
3806	INTERDIT	Arret_genant_divers	14	14F	2.40			Impair	5.09	5.09	Absente	Avec_panonceau	Conforme					2020-08-03	2020-08-21	8305	1750618777	14Z2B	2	48.8212742571,2.3187200647
3787	INTERDIT	Arret_vigipirate_perennise	15	15M	2.40			Pair	26.71	26.71	Absente	Avec_panonceau	Conforme					2020-08-05	2020-08-21	3233	1750610492	15Z2	3	48.8512058534,2.28778002085
3804	INTERDIT	Stationnement_genant	16	16P	2.40			Impair	41.62	41.62	Absente	Absente	SV_Non-conforme					2020-08-11	2020-08-24	8127	1750608698	16Z4	4	48.8560231763,2.28487702312
3807	INTERDIT	Arret_Pompiers	15	15M	2.40			Impair	13.87	13.87	Presente	Avec_panonceau	Non_conforme					2020-08-12	2020-08-12	305	750611329	15Z2	3	48.8486548739,2.2812192633
3834	INTERDIT	Arret_genant_divers	14	14L	2.40			Impair	11.74	11.74	Abime	Absente	SV_Non-conforme					2020-07-10	2020-08-25	4036	1750616427	14Z2A	2	48.8331905917,2.33159488382
3835	INTERDIT	Arret_genant_divers	14	14L	2.40			Impair	16.83	16.83	Absente	Absente	SV_Non-conforme					2020-07-10	2020-08-25	4036	1750616427	14Z2A	2	48.8330293973,2.33145605443
3863	INTERDIT	Stationnement_genant	14	14G	2.40			Pair	183.73	183.73	Absente	Avec_panonceau	Conforme					2020-08-03	2020-08-24	4072	750618518	14Z3B	2	48.8232545941,2.33480424684
3913	LIVRAISON_BUS	Livraison_BUS						Impair	18,7385087	18,7385087	Absente	Avec_panonceau	Conforme	19:30	07:30	09:30	16:30	2020-08-31	2017-08-24	5850	1750614306			48.8401375245,2.32200883029
3957	INTERDIT	Arret_vigipirate_perennise	14	14M	2.40			Impair	3.96	3.96	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-24	6124	1750616179	14Z1A	2	48.8332427186,2.32316702676
3945	INTERDIT	Stationnement_genant	14	14K	2.40			Pair	11.91	11.91	Absente	Absente	SV_Non-conforme					2020-08-01	2020-08-20	4871	750617431	14Z1B	2	48.8283253079,2.317102178
4008	INTERDIT	Arret_vigipirate_perennise	15	15P	2.40			Impair	10.60	10.60	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-24	6880	1750613602	15Z3	3	48.8424674738,2.28700999116
4023	INTERDIT	Arret_genant_divers	14	14M	2.40			Impair	13.03	13.03	Absente	Avec_panonceau	Conforme					2020-08-01	2020-08-21	7463	1750616439	14Z1A	2	48.83271804,2.31938185661
4052	INTERDIT	Stationnement_simple	14	14M	2.40			Inconnu	4.03	4.03	Presente	Absente	Conforme					2020-08-01	2020-08-24	7472	1750617037	14Z1A	2	48.8300023254,2.32312741656
4097	INTERDIT	Stationnement_genant	12	12M	2.40			Pair	27.65	27.65	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-25	1941	750614355	12ZG	8	48.8392330965,2.40091791115
4176	INTERDIT	Stationnement_simple	14	14H	2.40			Impair	5.12	5.12	Presente	Absente	Conforme					2020-08-31	2017-08-29	8592	1750618361	14Z3B	2	48.8248124417,2.33830438039
4273	INTERDIT	Stationnement_genant	15	15L	2.40			Impair	7.40	7.40	Absente	Avec_panonceau	Conforme					2020-08-31	2017-08-30	4933	1750611018	15Z1	3	48.8493224853,2.29312135382
4276	INTERDIT	Stationnement_genant	15	15L	2.40			Pair	89.13	89.13	Absente	Absente	SV_Non-conforme					2020-08-31	2017-12-01	9298	750611290	15Z1	3	48.848730177,2.29666169628
4254	INTERDIT	Stationnement_genant	15	15L	2.40			Impair	199.94	199.94	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-30	3524	1750611264	15Z1	3	48.849152304,2.29273356556
4290	INTERDIT	Stationnement_genant	12	12M	2.40			Impair	8.77	8.77	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-31	9338	1750614889	12ZG	8	48.837424504,2.40225865446
4310	INTERDIT	Stationnement_genant	15	15H	2.40			Impair	34.96	34.96	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-31	6693	1750613365	15Z8	3	48.8430174447,2.31375352006
4397	INTERDIT	Stationnement_genant	15	15H	2.40			Inconnu	92.66	92.66	Presente	Avec_panonceau	Conforme					2020-08-31	2017-09-04	173	750614118	15Z8	3	48.8402405454,2.31554606223
4403	INTERDIT	Arret_vigipirate_non_perennise	15	15V	2.40			Impair	52.15	52.15	Presente	Avec_panonceau	Conforme					2020-08-31	2017-12-07	4758	1750614596	15Z3	3	48.8392336654,2.29364467373
4432	INTERDIT	Stationnement_genant	15	15R	2.40			Impair	31.32	31.32	Absente	Absente	SV_Non-conforme					2020-08-04	2020-08-25	227	1750615114	15Z7	3	48.836769463,2.30345331413
4470	INTERDIT	Stationnement_simple	16	16E	2.40			Impair	7.68	7.68	Presente	Absente	Conforme					2020-08-31	2019-09-10	5554	1750602006	16Z1	4	48.8749693394,2.28738201212
4475	INTERDIT	Arret_vigipirate_perennise	16	16I	2.40			Impair	8.70	8.70	Absente	Sans_panonceau	SV_Non-conforme					2020-08-10	2020-08-18	4415	1750594667	16Z2	4	48.8673246341,2.29205667692
4536	INTERDIT	Stationnement_genant	15	15N	2.40			Impair	61.59	61.59	Absente	Absente	SV_Non-conforme					2020-08-04	2020-08-20	4176	1750619803	15Z5	3	48.8363973167,2.27395532901
4605	INTERDIT	Stationnement_genant	16	16E	2.40			Impair	87.21	87.21	Absente	Avec_panonceau	Conforme					2020-08-31	2017-12-08	7643	1750601154	16Z1	4	48.8768509524,2.28235564266
5369	INTERDIT	Stationnement_genant	18	18K	2.40			Pair	102.60	102.60	Absente	Absente	SV_Non-conforme					2020-08-31	2019-08-22	6683	750596404	18Z1	5	48.8986504031,2.36333899011
5399	INTERDIT	Arret_vigipirate_perennise	17	17E	2.40			Impair	15.84	15.84	Presente	Absente	SV_Non-conforme					2020-08-31	2017-12-12	3426	1750600958	17ZG	5	48.8776257961,2.29494461918
5446	INTERDIT	Stationnement_simple	16	16U	2.40			Pair	4.77	4.77	Presente	Absente	Conforme					2020-08-31	2017-09-28	9231	750611316	16Z4	4	48.8486256708,2.27025633318
5427	INTERDIT	Stationnement_genant	15	15W	2.40			Pair	6.12	6.12	Absente	Avec_panonceau	Conforme					2020-08-07	2020-08-20	3572	750614998	15Z5	3	48.8370662828,2.27892995335
5422	INTERDIT	Stationnement_genant	16	16V	2.40			Pair	6.85	6.85	Absente	Avec_panonceau	Conforme					2020-08-11	2020-08-24	4920	750613636	16Z6	4	48.8415779581,2.26574261445
5450	INTERDIT	Stationnement_genant	12	12N	2.40			Inconnu	66.57	66.57	Absente	Absente	SV_Non-conforme					2020-08-31	2017-09-28	3171	750614183	12ZG	8	48.8398614298,2.41328940655
5490	INTERDIT	Stationnement_genant						Impair	37.30	37.30	Absente	Avec_panonceau	Conforme					2020-08-31	2017-09-29	4086	1750600869			48.878094492,2.37681878753
5486	INTERDIT	Stationnement_genant	14	14G	2.40			Pair	203.02	203.02	Absente	Absente	SV_Non-conforme					2020-08-31	2017-09-29	6474	750618498	14Z3B	2	48.8236117202,2.33426121359
5491	INTERDIT	Stationnement_genant	18	18F	2.40			Impair	18.15	18.15	Presente	Avec_panonceau	Conforme					2020-08-31	2017-09-29	1606	1750597807	18Z6	5	48.8896029258,2.33704060531
5501	INTERDIT	Stationnement_genant	18	18F	2.40			Pair	12.23	12.23	Absente	Avec_panonceau	Conforme					2020-08-31	2017-09-29	8474	750598211	18Z3	5	48.8878506242,2.33977804485
5517	INTERDIT	Stationnement_simple	7	7J	4.00			Pair	4.13	4.13	Presente	Absente	Conforme					2020-08-06	2020-08-21	5230	750609144	07Z1	3	48.8554152129,2.30707015235
5597	INTERDIT	Stationnement_simple	20	20M	2.40			Impair	6.75	6.75	Presente	Absente	Conforme					2020-08-31	2017-10-02	7177	1750603209	20Z2	7	48.870901358,2.39901614007
