identifiant	Regime_prioritaire	Regime_particulier	Arrondissement	Zone_Residentielle	Tarification	Type_de_voie	Nom_de_la_voie	Parite	Longueur	Longueur_calculee	Signalisation_horizontale	Signalisation_verticale	Conformite_signalisation	Plage_horaire_1-Debut	Plage_horaire_1-Fin	Plage_horaire_2-Debut	Plage_horaire_2-Fin	Date_du_releve	Derniere_date_edition	Code_Voie_Ville_de_Paris	Numero_Sequentiel_Tronçon_Voie	Zone_ASP	Numero_Section_Territoriale_de_Voirie	geo_point_2d
5774	INTERDIT	Stationnement_genant	13	13M	2.40			Pair	69.81	69.81	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-05	1214	750618552	13Z5	8	48.8229633709,2.35601243174
5817	INTERDIT	Stationnement_genant	9	9G	4.00			Impair	61.87	61.87	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-06	9748	1750601805	5	1	48.8752372323,2.33283359921
5937	INTERDIT	Arret_vigipirate_perennise	19	19K	2.40			Impair	16.46	16.46	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-09	4197	1750599114	19Z7	6	48.8855442355,2.38993873736
6033	INTERDIT	Arret_vigipirate_perennise	18	18G	2.40			Pair	25.12	25.12	Presente	Avec_panonceau	Conforme					2020-08-31	2017-10-10	9144	750599230	18Z3	5	48.8842404865,2.34224833776
5969	INTERDIT	Stationnement_simple	13	13L	2.40			Pair	7.94	7.94	Presente	Absente	Conforme					2020-07-09	2020-07-29	2004	750618003	13Z4	8	48.8264125812,2.35984597807
5996	INTERDIT	Stationnement_genant	19	19H	2.40			Pair	31.83	31.83	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-10	7264	750599004	19Z4	6	48.8847911804,2.38165549521
5967	INTERDIT	Stationnement_simple	20	20N	2.40			Impair	18.23	18.23	Absente	Absente	Non_conforme					2020-07-27	2020-08-11	8747	1750603602	20Z3	7	48.8695847956,2.40603776616
5977	INTERDIT	Stationnement_genant	1	1E	4.00			Pair	86.29	86.29	Absente	Avec_panonceau	Conforme					2020-07-16	2020-08-17	1569	750607235	01Z2	1	48.8605706251,2.33377838007
5990	INTERDIT	Stationnement_genant	13	13E	2.40			Inconnu	9.26	9.26	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-10	1302	750595937	13Z5	8	48.8221157736,2.35030098628
6002	INTERDIT	Stationnement_genant	1	1E	4.00			Impair	23.56	23.56	Absente	Absente	SV_Non-conforme					2020-08-31	2017-10-10	6334	1750605532	01Z1	1	48.8654960369,2.33645537946
6070	INTERDIT	Stationnement_simple						Inconnu	129.25	129.25	Presente	Absente	Conforme					2020-08-31	2017-10-20	2332	750593912			48.8968195164,2.38464467037
6073	INTERDIT	Stationnement_simple	19	19F	2.40			Inconnu	129.21	129.21	Presente	Absente	Conforme					2020-08-31	2017-10-20	2332	1750596671	19Z2	6	48.8967604366,2.38477423961
6076	INTERDIT	Arret_simple	17	17P	2.40			Pair	34.48	34.48	Presente	Absente	Conforme					2020-08-25	2020-09-03	8580	750619709	17ZB	5	48.8881004148,2.3107438081
7820	INTERDIT	Arret_vigipirate_perennise	20	20E	2.40			Pair	9.50	9.50	Absente	Absente	SV_Non-conforme					2020-07-29	2020-08-14	6932	750603575	20Z1	7	48.8695673793,2.38011878447
7821	INTERDIT	Arret_vigipirate_perennise	20	20E	2.40			Impair	5.52	5.52	Absente	Absente	SV_Non-conforme					2020-07-29	2020-08-14	6932	1750603575	20Z1	7	48.8696731599,2.38016730887
7828	INTERDIT	Stationnement_genant	13	13P	2.40			Impair	50.77	50.77	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-16	8061	1750615620	13Z4	8	48.8352286006,2.37460576871
7835	INTERDIT	Stationnement_genant	13	13P	2.40			Impair	17.23	17.23	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-16	4123	1750615405	13Z4	8	48.8358896375,2.37283288162
211230D20111118133254	INTERDIT	Stationnement_genant				AVENUE_DE	CLICHY	Pair	17.14	17.14	Absente	Absente	SV_Non-conforme					2020-08-25	2020-09-03	2112	750597294			48.8925781131,2.31683644684
810805G20130826113940	INTERDIT	Stationnement_genant	17	17M	2.40	BOULEVARD_DE	REIMS	Impair	17.38	17.38	Absente	Absente	SV_Non-conforme					2020-08-31	2017-09-18	8101	1750597570	17ZC	5	48.8916009645,2.30135841599
995001D20110922142251	INTERDIT	Stationnement_simple	19	19E	2.40	PASSAGE	WATTIEAUX	Impair	92.32	92.32	Absente	Sans_panonceau	Conforme					2020-08-31	2017-10-19	9930	1750597119	19Z2	6	48.8943052589,2.37470675031
769902D20111117155355	INTERDIT	Stationnement_genant	18	18T	2.40	AVENUE_DE_LA	PORTE_DES_POISSONNIERS	Pair	127.41	127.41	Absente	Avec_panonceau	Conforme					2020-08-31	2017-09-19	7673	750596304	18Z2	5	48.90030264,2.35227255096
524009G20140306113036	INTERDIT	Stationnement_genant	9	9G	4.00	RUE	LA_FAYETTE	Impair	9.92	9.92	Presente	Absente	SV_Non-conforme					2020-08-20	2020-08-26	5159	1750601878	4	1	48.8751182607,2.34080547506
379607D20140221115131	INTERDIT	Stationnement_genant	13	13P	2.40	AVENUE_DE	FRANCE	Inconnu	87.50	87.50	Absente	Avec_panonceau	Conforme					2020-07-07	2020-07-28	3794	1750617208	13Z6	8	48.8295850318,2.37769838493
859801G20141114140746	INTERDIT	Stationnement_genant	1	1E	4.00	IMPASSE	SAINT_EUSTACHE	Impair	29.42	29.42	Absente	Absente	SV_Non-conforme					2020-08-31	2017-06-30	8826	750605873	01Z2	1	48.8637345644,2.34538958501
484402D20101201090624	INTERDIT	Stationnement_genant	13	13M	2.40	RUE_DU	JAVELOT	Pair	57.56	57.56	Presente	Avec_panonceau	Conforme					2020-07-07	2020-07-29	4755	1750618388	13Z6	8	48.8262937137,2.36390234845
224401D20110906094358	INTERDIT	Stationnement_simple	15	15L	2.40	PLACE_DU	COMMERCE	Pair	94.31	94.31	Absente	Sans_panonceau	Conforme					2020-08-31	2017-10-17	2245	750612642	15Z3	3	48.8449927579,2.29243481631
646002D20101220125926	INTERDIT	Stationnement_genant	14	14J	2.40	PASSAGE	MONTBRUN	Pair	38.86	38.86	Absente	Avec_panonceau	Conforme					2020-08-01	2020-08-24	6385	750617376	14Z2A	2	48.8286341685,2.32920991367
615524D20110812122717	INTERDIT	Stationnement_genant				BOULEVARD	MASSENA	Pair	11.31	11.31	Absente	Absente	SV_Non-conforme					2020-08-31	2017-08-17	6072	750618943			48.8191890339,2.35984182451
582707D20110614132854	INTERDIT	Stationnement_simple	7	7H	4.00	AVENUE_DE	LOWENDAL	Inconnu	20.51	20.51	Presente	Absente	Conforme					2020-08-31	2017-06-14	5768	750610975	07Z2	3	48.8496554175,2.3039925898
087301G20141106155426	INTERDIT	Arret_genant_divers	4	34F	4.00	COUR	BERARD	Impair	88.21	88.21	Absente	Absente	SV_Non-conforme					2020-08-31	2017-07-04	868	1750609232	04Z3	1	48.8543082556,2.36615926747
615801D20111202114902	INTERDIT	Stationnement_genant	16	16N	2.40	RUE	MASSENET	Pair	101.88	101.88	Absente	Avec_panonceau	Conforme					2020-08-31	2017-11-29	6074	750608082	16Z3	4	48.8584331542,2.27951938291
874801G20111207101925	INTERDIT	Stationnement_simple	11	11H	4.00	RUE	SAINT_SABIN	Impair	3.02	3.02	Presente	Absente	Conforme					2020-08-31	2017-08-03	8971	1750609175	11Z3	7	48.8545221321,2.37139923333
062621D20111128100743	INTERDIT	Stationnement_genant	20	20K	2.40	RUE_DE	BAGNOLET	Pair	116.28	116.28	Absente	Avec_panonceau	Conforme					2020-08-31	2019-07-25	612	750606269	20Z5	7	48.8631933408,2.4072349552
188201G20110829105802	INTERDIT	Stationnement_simple	15	15S	2.40	VILLA_DES	CHARMILLES	Impair	70.04	70.04	Presente	Absente	Conforme					2020-08-31	2017-12-07	1885	1750616389	15Z7	3	48.8327722716,2.30776904708
