Mois,sum
1.0,146580.0
2.0,2880.0
3.0,45780.0
4.0,33120.0
5.0,444960.0
6.0,177120.0
7.0,3545580.0
8.0,24490911.0
9.0,315360.0
10.0,87840.0
11.0,1440.0
